MKATABA WA MAKABIDHIANO YA PIKIPIKI	MOTORCYCLE HANDOVER AGREEMENT
Makabidhiano yakishafanyika na dereva ama pikipiki imehusika kwenye tukio lolote na jina halikubadilishwa la kadi hiyo basi Mmiliki hatohusika kwa jambo lolote zaidi dereva ndio atakayewajibika kwa kila kitu.	Once the handover has taken place, if the motorcycle is involved in any incident while the name on that card has not yet been changed, the Owner shall bear no further liability whatsoever - the Driver alone shall be responsible for everything.
IMEWEKWA SAHIHI na KUTOLEWA hapa Barabara ya Mandela, Kariakoo, Dar es Salaam na Juma Hassan Mwakalinga, ambaye ninamfahamu leo tarehe ____ mwezi ____________ 202__.	SIGNED and DELIVERED here at Barabara ya Mandela, Kariakoo, Dar es Salaam by Juma Hassan Mwakalinga, whom I know, today the ____ day of ____________ 202__.
Sahihi ya Dereva: ________________	Driver's Signature: ________________
MBELE YANGU:	BEFORE ME:
Jina: ..................................................	Name: ..................................................
Sahihi: ................................................	Signature: ................................................
Anuani: ................................................	Address: ................................................
Wadhifa: ...............................................	Position: ...............................................
IMEWEKWA SAHIHI na Mfano Fleet Ltd	SIGNED by Mfano Fleet Ltd
Mbele ya Maafisa wake walioruhusiwa kushuhudia	Before its duly authorised Officers as witnesses
Leo tarehe ____ mwezi ____________ 202__	Today the ____ day of ____________ 202__
Sahihi ya Mmiliki: ________________	Owner's Signature: ________________
Jina: Amina Said	Name: Amina Said
Sahihi: ................................................	Signature: ................................................
Anuani: Barabara ya Mandela, Kariakoo, Dar es Salaam	Address: Barabara ya Mandela, Kariakoo, Dar es Salaam
Wadhifa: MKURUGENZI WA Mfano Fleet Ltd	Position: DIRECTOR OF Mfano Fleet Ltd
MBELE YANGU	BEFORE ME
Jina: ..................................................	Name: ..................................................
Sahihi: ................................................	Signature: ................................................
Anuani: ................................................	Address: ................................................
Wadhifa: ...............................................	Position: ...............................................
Imechapishwa 1 Agosti 2026	Printed 1 August 2026
